customernumber;date;salutation;title;domain;datecreated;newsletter;model;paymenttype;deliverytype;invoicepostcode;delivpostcode;voucher;advertisingdatacode;case;numberitems;gift;entry;points;shippingcosts;deliverydatepromised;deliverydatereal;weight;remi;cancel;used;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;target90
1;2008-07-19;0;0;12;2008-07-19;0;2;0;0;50; ;1; ;1;2;0;1;0;0;2008-07-22;2008-07-21;873;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
6;2008-07-25;1;0;9;2008-07-25;0;1;0;0;88; ;1; ;1;1;0;0;0;0;2008-07-28;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;2008-05-25;2;0;9;2008-05-25;0;3;1;1;39; ;0; ;4;1;0;1;0;0;2008-05-27;2008-05-26;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
9;2008-09-21;1;0;1;2008-09-21;0;1;0;0;58; ;1;AX;1;1;0;0;0;0;2008-09-23;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;2008-07-09;2;0;8;2008-07-09;0;1;0;0;1; ;0; ;3;2;0;0;0;1;2008-07-11;2008-07-10;484;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
19;2008-04-24;2;0;12;2008-04-24;0;1;0;0;45; ;0; ;3;1;0;0;0;0;2008-04-25;2008-04-25;530;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
42;2008-05-25;0;0;8;2008-05-25;0;1;0;0;73; ;1; ;3;3;0;0;0;0;2008-05-27;2008-05-26;1560;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
43;2008-09-25;1;0;4;2008-09-25;0;1;1;1;65; ;0; ;4;1;0;0;0;0;2008-10-08;2008-09-30;143;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
49;2008-09-13;2;0;0;2008-09-13;0;1;2;0;36; ;0;BQ;5;4;0;0;0;0;2009-09-17;2008-11-03;934;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
54;2008-09-18;0;0;9;2008-09-18;0;1;0;0;4; ;1;AX;1;1;0;0;0;0;2008-09-22;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
